169,MARIA LA BAJA,4,2021-07-02 20:38:11,2021-07-02 20:38:11
170,MONTECRISTO,4,2021-07-03 20:38:11,2021-07-03 20:38:11
171,MOMPOS,4,2021-07-04 20:38:11,2021-07-04 20:38:11
172,NOROSI,4,2021-07-05 20:38:11,2021-07-05 20:38:11
173,MORALES,4,2021-07-06 20:38:11,2021-07-06 20:38:11
174,PINILLOS,4,2021-07-07 20:38:11,2021-07-07 20:38:11
175,REGIDOR,4,2021-07-08 20:38:11,2021-07-08 20:38:11
176,RIO VIEJO,4,2021-07-09 20:38:11,2021-07-09 20:38:11
177,SAN CRISTOBAL,4,2021-07-10 20:38:11,2021-07-10 20:38:11
178,SAN ESTANISLAO,4,2021-07-11 20:38:11,2021-07-11 20:38:11
179,SAN FERNANDO,4,2021-07-12 20:38:11,2021-07-12 20:38:11
180,SAN JACINTO,4,2021-07-13 20:38:11,2021-07-13 20:38:11
181,SAN JACINTO DEL CAUCA,4,2021-07-14 20:38:11,2021-07-14 20:38:11
182,SAN JUAN NEPOMUCENO,4,2021-07-15 20:38:11,2021-07-15 20:38:11
183,SAN MARTIN DE LOBA,4,2021-07-16 20:38:11,2021-07-16 20:38:11
184,SAN PABLO,4,2021-07-17 20:38:11,2021-07-17 20:38:11
185,SANTA CATALINA,4,2021-07-18 20:38:11,2021-07-18 20:38:11
186,SANTA ROSA,4,2021-07-19 20:38:11,2021-07-19 20:38:11
187,SANTA ROSA DEL SUR,4,2021-07-20 20:38:11,2021-07-20 20:38:11
188,SIMITI,4,2021-07-21 20:38:11,2021-07-21 20:38:11
189,SOPLAVIENTO,4,2021-07-22 20:38:11,2021-07-22 20:38:11
190,TALAIGUA NUEVO,4,2021-07-23 20:38:11,2021-07-23 20:38:11
191,TIQUISIO,4,2021-07-24 20:38:11,2021-07-24 20:38:11
192,TURBACO,4,2021-07-25 20:38:11,2021-07-25 20:38:11
193,TURBANA,4,2021-07-26 20:38:11,2021-07-26 20:38:11
194,VILLANUEVA,4,2021-07-27 20:38:11,2021-07-27 20:38:11
195,ZAMBRANO,4,2021-07-28 20:38:11,2021-07-28 20:38:11
196,TUNJA,5,2021-07-29 20:38:11,2021-07-29 20:38:11
197,ALMEIDA,5,2021-07-30 20:38:11,2021-07-30 20:38:11
198,AQUITANIA,5,2021-07-31 20:38:11,2021-07-31 20:38:11
